x,y,amplitude,angle,rob,action 0,action 1,action 2,action 3,action 4,action 5
1,1,2,3,1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
5,1,2,3,1,-1.1957716908591334,-0.2830101971768272,-0.7899188110917166,-0.9595898086987287,-0.8274687457000656,-0.9575133031157358
4,0,1,3,0,,,0.058384678950512886,0.006495548170354451,0.10302802870708483,0.8906799829759262
3,1,1,4,0,1.24907543362779,,-2.4400102980562566,-2.3817670215788156,-2.1292789590755787,-2.5590750318820676
1,3,1,4,0,-10.0,,-9.99969158173283,-10.0,-10.0,-10.0
5,5,1,4,1,1.08129586275296,0.07845807195126676,0.8812834539170059,0.32777846209623496,0.7645047351637825,0.39040386105508595
4,5,1,4,1,0.5567759035595666,-0.03392533229491631,1.881448153544106,0.6382369311014299,0.43500868402105075,1.1681232335263085
3,6,1,4,2,,0.7337859402401995,0.2289774288322951,0.6066566451102294,0.0,3.0039558102547748
2,6,1,4,2,,-1.425,-0.2532895542165494,-0.6741553836415918,0.493552072648126,-0.3313731501487698
1,7,1,4,1,-10.0,-9.7975,-10.0,-10.0,-10.0,-10.0
5,3,3,3,1,-2.574448691997252,1.8046918295138505,-2.323022839796983,-1.7823370515858943,-1.974537134103504,-2.265975792021981
3,2,3,3,2,,-10.0,-10.0,-5.428521132570999,-5.1638869,-10.0
3,5,1,3,1,-0.09376324158023802,-0.36450681526128387,0.061789149931490324,0.12789244992275545,0.09474331271789385,1.3123601051441631
2,4,1,3,1,-3.661815,-3.8460351989658625,2.0167615593039665,-1.415877184944669,-2.7314136135624842,-2.0460112203583956
1,3,1,3,2,,-10.0,-10.0,-10.0,-10.0,-10.0
4,6,2,4,1,3.0345516544096904,-0.257925,-0.886142685836112,-0.6844359850150152,0.0,-0.7358538832500001
2,7,2,4,0,-4.319065,,-4.521565,-4.73789575,-10.0,-10.0
3,2,3,4,2,,-7.1108117801416615,-10.0,-8.357984833354312,-10.0,-10.0
2,6,2,4,2,,-10.0,2.301075352048122,-8.81382699460317,-8.0,-10.0
3,4,2,4,1,-1.9582756489959008,-4.0833215242500005,-3.708073818110289,-4.273491564530364,-4.328001744446979,-3.6333380978540277
1,6,2,4,0,-10.0,,-10.0,-10.0,-10.0,-10.0
3,4,2,3,1,-4.1815134804979355,-1.2218320774730915,-4.171095526340955,-4.0642666577395845,-3.8148794237139683,-3.8259313036253326
1,3,2,3,1,-10.0,-10.0,-10.0,-10.0,-10.0,7.182711241028736
5,3,3,4,1,-2.9193503323561933,-4.425119848295678,-4.200207678443663,-4.530783521524321,-4.300659616531309,-4.247569314325322
3,6,3,4,0,-10.0,,-9.75,-10.0,-10.0,-6.8392916655229
5,6,3,4,1,1.4540904889652013,-3.9376504536156625,-3.6237499919074025,-3.547250085566523,-2.717431700308693,-2.351188754596597
3,8,3,4,1,-6.51496370478897,-10.0,-10.0,-10.0,-10.0,-9.13322006960832
1,6,3,3,1,-10.0,-10.0,-10.0,-7.690690842536413,-10.0,-10.0
5,0,3,4,1,-4.807059199958026,-3.254222837403889,-4.9827907317530755,-4.741382642829382,-5.13121260174277,-4.810686695973411
3,2,3,4,1,-6.45679071799908,-9.775,-5.855205896889405,-6.314880084941835,-4.216479527230633,-3.665648119447529
5,4,2,4,1,0.18784732434618584,-0.24349428572122567,0.4094503110743486,1.0991281174773795,-0.08972702485471873,0.1818067039289422
3,5,2,4,1,1.4250505823979462,-2.57925,-1.425,-1.4638525433911702,-2.642203323889975,-2.0325
1,6,2,4,1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
5,5,3,3,1,-3.7867844747447768,-0.8710319905436241,-4.239653047316064,-3.8394381197916885,-4.353274758647388,-4.011338493874431
3,4,3,3,1,-9.131948381142855,-10.0,-10.0,-9.301723091203213,-9.75,-9.75
5,2,2,4,1,-1.7922285945825553,-1.9947499590258044,-1.968528169576664,-1.9703035199181365,-1.985311672053995,-0.6980980615275388
3,3,2,4,0,-0.9087380793905289,,-1.425,-1.425,-0.75,-1.425
1,4,2,4,1,-10.0,-10.0,1.3454195638149917,-6.561916791071468,-6.2,-10.0
2,4,2,3,2,,-10.0,-10.0,-10.0,-9.083175015271202,-10.0
3,3,3,3,0,-10.0,,-8.0,1.1439251895904294,-3.546001186120073,-10.0
5,7,1,4,1,0.2243830453217223,0.0,0.11926155692214777,0.18343678170079755,0.6893516003875971,0.206904882895848
4,7,1,4,1,2.22863930827327,-0.13934662461961814,0.4152419821816549,0.9906166918322588,0.4080704587463233,0.6789393932039779
3,8,1,4,1,2.116490609379549,-0.87825,-0.04500000000000001,-0.75,-0.07500000000000001,-0.7302183999069236
2,8,1,3,0,-10.0,,-4.7264304,-9.75,-4.7148838864373435,-4.701963135
3,1,3,4,2,,-10.0,-9.0,-6.76067377409326,-10.0,-6.815151144478899
4,5,1,3,2,,,0.0,-0.01797140832873422,-0.02247561412098574,0.019716280125628496
3,3,1,3,2,,-0.14890942566591558,-0.15058196718750005,-0.2258625,-0.36904394742682367,-0.12374999999999999
2,2,1,3,2,,-10.0,-9.75,-3.886489200067828,-3.71035,-3.823963607215633
